NAME,AGE,IS_DECEASED,PREDICTION
Ginger Baker,84.0,False,0.99
Dick Cheney,82.0,False,0.989
David Wells,60.0,False,0.984
Mikhail Gorbachev,92.0,False,0.973
Lance Armstrong,52.0,False,0.972
Aaron Klug,97.0,False,0.961
Alex Wolff,26.0,False,0.961
Shintaro Tsuji,96.0,False,0.953
Robert Dornhelm,76.0,False,0.953
Gerhard Schroeder,79.0,False,0.95
Jackie Evancho,23.0,False,0.942
Mitzi Gaynor,92.0,False,0.939
Morgan Tsvangirai,71.0,False,0.939
Constantine II,83.0,False,0.937
Horst Köhler,80.0,False,0.935
Mario Kreutzberger,83.0,False,0.933
Kjell Magne Bondevik,76.0,False,0.926
Manfred Honeck,65.0,False,0.926
Ved Mehta,89.0,False,0.926
Paris Jackson,25.0,False,0.925
Prince Bandar bin Sultan,74.0,False,0.925
Robert David Hall,76.0,False,0.925
Jerome Kerviel,46.0,False,0.923
Senta Berger,82.0,False,0.922
Franz Welser-Möst,63.0,False,0.922
Josef Fritzl,88.0,False,0.921
Christian Fennesz,61.0,False,0.921
Milan Kundera,94.0,False,0.919
Zac Efron,36.0,False,0.917
Egon Krenz,86.0,False,0.916
Jon Johansen,40.0,False,0.916
Peter Handke,81.0,False,0.915
Darryl Strawberry,61.0,False,0.914
Isaac Brock,48.0,False,0.914
Nick Price,66.0,False,0.913
Andrey Ternovskiy,31.0,False,0.901
wiL Francis,41.0,False,0.9
Anders Behring Breivik,44.0,False,0.898
Bernard-Henri Lévy,75.0,False,0.898
Georg Listing,36.0,False,0.897
Gustav Schäfer,35.0,False,0.897
Howie Carr,71.0,False,0.897
Bill Kaulitz,34.0,False,0.892
Tom Kaulitz,34.0,False,0.892
Dennis Hastert,81.0,False,0.891
Gao Xingjian,83.0,False,0.889
Marc Forster,54.0,False,0.889
Mijailo Mijailovic,45.0,False,0.888
Bloodshy,47.0,False,0.888
Don Wildmon,85.0,False,0.888
Gunther von Hagens,78.0,False,0.887
Michael Moorcock,84.0,False,0.886
Klaus Maria Brandauer,79.0,False,0.885
Tina Turner,84.0,False,0.883
Vince Dooley,91.0,False,0.882
Brian Cox,77.0,False,0.882
Allegra Versace,37.0,False,0.882
Fernando Arrabal,91.0,False,0.88
Peter Medak,86.0,False,0.88
Bharrat Jagdeo,59.0,False,0.879
Anderson Cooper,56.0,False,0.876
Ernesto Zedillo,72.0,False,0.876
Earl Sweatshirt,29.0,False,0.874
Christoph Meili,55.0,False,0.874
Patrick Süskind,74.0,False,0.873
Ricardo Piglia,82.0,False,0.873
Larry Lea,72.0,False,0.873
Mathieu Kassovitz,56.0,False,0.873
Michel Hazanavicius,56.0,False,0.873
François Ozon,56.0,False,0.873
Tom Stoppard,86.0,False,0.872
Vladimir Sorokin,68.0,False,0.87
Dustin Hoffman,86.0,False,0.87
Erich Gamma,62.0,False,0.87
Chuck Strahl,66.0,False,0.869
Tony Blair,70.0,False,0.866
Placido Domingo,82.0,False,0.866
Jean-Lou Chameau,70.0,False,0.865
Olivier Assayas,68.0,False,0.865
Jean-Pierre Jeunet,70.0,False,0.865
Jean-Georges Vongerichten,66.0,False,0.865
Jerry Hirshberg,84.0,False,0.864
Francis Veber,86.0,False,0.863
Jacques Pépin,88.0,False,0.863
Claude Lelouch,86.0,False,0.863
Irvine Welsh,62.0,False,0.863
"Frederick M. Franks, Jr.",88.0,False,0.862
Christian Lacroix,72.0,False,0.861
Queen Elizabeth II,97.0,False,0.861
Jean-Michel Jarre,75.0,False,0.861
Jean-Paul Gaultier,71.0,False,0.861
Jerry Mathers,75.0,False,0.86
Bob Schieffer,86.0,False,0.86
Leos Carax,63.0,False,0.859
Bret Michaels,60.0,False,0.859
Jacques Torres,63.0,False,0.859
Patrick Bruel,64.0,False,0.859
Fran Drescher,66.0,False,0.859
Cédric Klapisch,62.0,False,0.859
Albert Fert,85.0,False,0.859
Rolf M. Zinkernagel,79.0,False,0.858
Lionel Jospin,86.0,False,0.858
George Miller,78.0,False,0.857
Michel Gondry,60.0,False,0.857
Luc Montagnier,91.0,False,0.857
John Cleese,84.0,False,0.857
Michel Legrand,91.0,False,0.857
Michel Deville,92.0,False,0.857
Bertrand Blier,84.0,False,0.856
Raul Yzaguirre,84.0,False,0.856
Jean-Marie Lehn,84.0,False,0.856
Roman Polanski,90.0,False,0.855
Dennis Moore,78.0,False,0.855
Bo Hi Pak,93.0,False,0.854
Ben R. Mottelson,97.0,False,0.854
